00 1c 02 04 1f 
00 1c 02 13 1f 
00 1c 02 13 20 
00 1c 02 18 18 
00 1c 02 18 1f 
00 1c 02 1a 10 
00 1c 02 1f 0e 
00 1c 02 1f 0f 
00 1c 02 1f 11 
00 1c 02 1f 20 
00 1c 02 25 08 
00 1c 03 0c 10 
00 1c 03 18 10 
00 1c 03 18 27 
00 1c 03 19 10 
00 1c 03 1e 10 
00 1c 03 1f 10 
00 1c 03 1f 1f 
00 1c 04 0d 
00 1c 04 1f 20 
00 1c 08 0b 20 
00 1c 08 18 0a 
00 1c 08 18 11 
00 1c 08 19 17 
00 1c 08 19 1f 
00 1c 08 19 20 
00 1c 08 1e 1f 
00 1c 08 1e 20 
00 1c 08 1f 0b 
00 1c 08 1f 10 
00 1c 08 1f 16 
00 1c 08 1f 1f 
00 1c 08 1f 20 
00 1c 08 25 04 
00 1c 08 25 10 
00 1c 08 25 19 
00 1c 08 26 17 
00 1c 09 03 0e 
00 1c 09 03 10 
00 1c 09 0c 10 
00 1c 09 0c 1f 
00 1c 09 0c 20 
00 1c 09 14 16 
00 1c 09 18 08 
00 1c 09 18 0e 
00 1c 09 18 10 
00 1c 09 18 16 
00 1c 09 18 18 
00 1c 09 18 1f 
00 1c 09 18 20 
00 1c 09 18 27 
00 1c 09 19 0e 
00 1c 09 19 10 
00 1c 09 19 17 
00 1c 09 19 1f 
00 1c 09 19 27 
00 1c 09 1a 10 
00 1c 09 1e 0e 
00 1c 09 1e 10 
00 1c 09 1f 0f 
00 1c 09 1f 10 
00 1c 09 1f 11 
00 1c 09 1f 16 
00 1c 09 1f 18 
00 1c 09 1f 1f 
00 1c 09 1f 20 
00 1c 09 24 10 
00 1c 09 25 0c 
00 1c 09 25 0f 
00 1c 09 25 10 
00 1c 09 26 0e 
00 1c 09 26 10 
00 1c 0e 18 09 
00 1c 0e 18 19 
00 1c 0e 1f 02 
00 1c 0e 1f 10 
00 1c 0e 1f 19 
00 1c 0e 1f 1f 
00 1c 0e 1f 20 
00 1c 0e 1f 27 
00 1c 0e 25 10 
00 1c 0f 03 10 
00 1c 0f 03 17 
00 1c 0f 03 19 
00 1c 0f 0b 10 
00 1c 0f 0c 10 
00 1c 0f 0c 20 
00 1c 0f 12 20 
00 1c 0f 14 20 
00 1c 0f 18 09 
00 1c 0f 18 10 
00 1c 0f 18 18 
00 1c 0f 18 19 
00 1c 0f 18 1f 
00 1c 0f 18 20 
00 1c 0f 19 10 
00 1c 0f 19 17 
00 1c 0f 19 19 
00 1c 0f 19 1f 
00 1c 0f 1a 10 
00 1c 0f 1a 1f 
00 1c 0f 1e 20 
00 1c 0f 1f 02 
00 1c 0f 1f 10 
00 1c 0f 1f 19 
00 1c 0f 1f 1f 
00 1c 0f 1f 20 
00 1c 0f 25 04 
