00 1c 02 03 04 
00 1c 02 03 05 
00 1c 02 03 07 
00 1c 02 03 0e 00 
00 1c 02 03 0f 00 
00 1c 02 03 20 00 
00 1c 02 03 
00 1c 02 04 05 
00 1c 02 04 07 00 
00 1c 02 04 08 00 
00 1c 02 04 0f 01 
00 1c 02 04 17 
00 1c 02 04 1f 1c 
00 1c 02 04 
00 1c 02 0b 06 08 
00 1c 02 0b 0f 02 
00 1c 02 0b 10 0f 
00 1c 02 0b 19 02 
00 1c 02 0b 1f 02 
00 1c 02 0c 05 02 
00 1c 02 0c 07 02 
00 1c 02 0c 0e 02 
00 1c 02 0c 0f 02 
00 1c 02 0c 
00 1c 02 0d 04 
00 1c 02 0d 05 02 
00 1c 02 0d 06 
00 1c 02 0d 07 02 
00 1c 02 0d 07 
00 1c 02 12 06 03 
00 1c 02 13 06 03 
00 1c 02 13 07 03 
00 1c 02 13 08 04 
00 1c 02 13 0e 04 
00 1c 02 13 10 03 
00 1c 02 13 1f 04 
00 1c 02 13 20 0b 
00 1c 02 14 04 
00 1c 02 14 05 
00 1c 02 14 06 03 
00 1c 02 14 07 
00 1c 02 14 0e 
00 1c 02 14 0f 
00 1c 02 15 1f 
00 1c 02 15 20 03 
00 1c 02 18 06 03 
00 1c 02 18 08 04 
00 1c 02 18 0e 03 
00 1c 02 18 0f 03 
00 1c 02 18 11 03 
00 1c 02 18 17 03 
00 1c 02 18 18 03 
00 1c 02 18 19 03 
00 1c 02 18 1f 1c 
00 1c 02 18 20 03 
00 1c 02 18 27 03 
00 1c 02 18 
00 1c 02 19 05 
00 1c 02 19 06 0c 
00 1c 02 19 08 04 
00 1c 02 19 0e 03 
00 1c 02 19 11 03 
00 1c 02 19 17 03 
00 1c 02 19 18 04 
00 1c 02 19 20 04 
00 1c 02 19 
00 1c 02 1a 0f 03 
00 1c 02 1a 10 12 
00 1c 02 1a 18 03 
00 1c 02 1a 27 
00 1c 02 1e 06 03 
00 1c 02 1e 07 
00 1c 02 1e 0e 03 
00 1c 02 1e 0e 
00 1c 02 1e 17 03 
00 1c 02 1e 18 03 
00 1c 02 1e 27 03 
00 1c 02 1e 
00 1c 02 1f 06 03 
00 1c 02 1f 08 04 
00 1c 02 1f 0e 18 
00 1c 02 1f 0f 18 
00 1c 02 1f 11 03 
00 1c 02 1f 17 18 
00 1c 02 1f 18 03 
00 1c 02 1f 20 0c 
00 1c 02 1f 
00 1c 02 25 00 
00 1c 02 25 05 
00 1c 02 25 07 
00 1c 02 25 08 20 
00 1c 02 25 09 
00 1c 02 25 0e 
00 1c 02 25 0f 
00 1c 02 25 17 
00 1c 02 25 20 
00 1c 02 25 
00 1c 02 26 06 03 
00 1c 03 03 08 00 
00 1c 03 03 0e 
00 1c 03 03 0f 
00 1c 03 03 10 0d 
00 1c 03 03 17 
00 1c 03 03 1f 0d 
00 1c 03 04 00 00 
00 1c 03 04 08 00 
00 1c 03 04 0f 
00 1c 03 04 10 0d 
00 1c 03 04 17 
00 1c 03 04 1f 0d 
00 1c 03 0b 07 08 
00 1c 03 0b 09 0c 
00 1c 03 0b 0f 02 
00 1c 03 0b 10 0d 
00 1c 03 0c 00 02 
00 1c 03 0c 10 0a 
00 1c 03 0c 1f 0a 
00 1c 03 0d 07 
00 1c 03 0d 08 
00 1c 03 0d 09 02 
00 1c 03 0d 0e 
00 1c 03 0d 0f 
00 1c 03 0d 10 
00 1c 03 0d 1f 
00 1c 03 12 07 03 
00 1c 03 12 08 04 
00 1c 03 12 08 
00 1c 03 12 0e 
00 1c 03 12 0f 
00 1c 03 12 1f 
00 1c 03 13 07 03 
00 1c 03 13 08 04 
00 1c 03 13 0e 04 
00 1c 03 13 0e 
00 1c 03 13 0f 
00 1c 03 13 10 03 
00 1c 03 13 1f 03 
00 1c 03 14 07 03 
00 1c 03 14 08 0a 
00 1c 03 14 08 
00 1c 03 14 0e 
00 1c 03 14 0f 
00 1c 03 18 07 03 
00 1c 03 18 08 0b 
00 1c 03 18 09 03 
00 1c 03 18 10 0d 
00 1c 03 18 18 03 
00 1c 03 18 27 0c 
00 1c 03 19 06 
00 1c 03 19 07 0c 
00 1c 03 19 08 
00 1c 03 19 09 03 
00 1c 03 19 0e 03 
00 1c 03 19 0e 
00 1c 03 19 10 0d 
00 1c 03 19 18 04 
00 1c 03 19 1f 0d 
00 1c 03 19 27 0c 
00 1c 03 1e 00 03 
00 1c 03 1e 06 
00 1c 03 1e 07 03 
00 1c 03 1e 08 
00 1c 03 1e 0e 
00 1c 03 1e 10 0d 
00 1c 03 1e 17 
00 1c 03 1f 00 03 
00 1c 03 1f 07 03 
00 1c 03 1f 09 19 
00 1c 03 1f 10 18 
00 1c 03 1f 18 03 
00 1c 03 1f 1f 04 
00 1c 03 24 08 0b 
00 1c 03 24 08 
00 1c 03 24 0e 
